
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-02-27 20:18:42 /up ................................................................................ ~ 500.38ms
  2026-02-27 20:20:41 /api/auth/register ................................................................. ~ 512.77ms
  2026-02-27 20:20:43 /api/accounts ........................................................................ ~ 2.56ms
  2026-02-27 20:20:43 /api/reports ......................................................................... ~ 2.22ms
  2026-02-27 20:20:43 /api/analytics/dashboard-summary ................................................... ~ 576.62ms
  2026-02-27 20:20:43 /api/trades ........................................................................ ~ 612.29ms
  2026-02-27 20:20:43 /api/missed-trades ................................................................. ~ 667.88ms
  2026-02-27 20:20:45 /api/accounts ........................................................................ ~ 0.84ms
  2026-02-27 20:20:45 /api/instruments ................................................................... ~ 549.88ms
  2026-02-27 20:20:45 /api/instruments ..................................................................... ~ 0.25ms
  2026-02-27 20:20:53 /api/accounts ...................................................................... ~ 515.09ms
  2026-02-27 20:21:00 /api/accounts ...................................................................... ~ 501.78ms
  2026-02-27 20:21:01 /api/accounts/2/analytics ............................................................ ~ 0.33ms
  2026-02-27 20:21:01 /api/accounts/2/equity ............................................................. ~ 501.03ms
  2026-02-27 20:21:03 /api/accounts ........................................................................ ~ 0.44ms
  2026-02-27 20:21:03 /api/instruments .................................................................... ~ 40.76ms
  2026-02-27 20:21:03 /api/instruments ................................................................... ~ 515.59ms
  2026-02-27 20:21:03 /api/accounts/2/risk-policy .......................................................... ~ 0.30ms
  2026-02-27 20:21:07 /api/price-feed/quotes ............................................................... ~ 0.53ms
  2026-02-27 20:21:08 /api/price-feed/quotes ............................................................... ~ 0.32ms
  2026-02-27 20:21:10 /api/price-feed/quotes ............................................................... ~ 0.68ms
  2026-02-27 20:21:11 /api/price-feed/quotes ............................................................... ~ 0.50ms
  2026-02-27 20:21:14 /api/price-feed/quotes ............................................................. ~ 506.06ms
  2026-02-27 20:21:16 /api/price-feed/quotes ............................................................. ~ 507.76ms
  2026-02-27 20:21:19 /api/price-feed/quotes ............................................................. ~ 506.26ms
  2026-02-27 20:21:21 /api/price-feed/quotes ............................................................. ~ 509.86ms
  2026-02-27 20:21:24 /api/price-feed/quotes ............................................................... ~ 0.45ms
  2026-02-27 20:21:27 /api/price-feed/quotes ............................................................... ~ 0.71ms
  2026-02-27 20:21:29 /api/price-feed/quotes ............................................................... ~ 0.58ms
  2026-02-27 20:21:31 /api/price-feed/quotes ............................................................... ~ 0.72ms
  2026-02-27 20:21:34 /api/price-feed/quotes ............................................................... ~ 0.30ms
  2026-02-27 20:21:36 /api/price-feed/quotes ............................................................. ~ 507.71ms
  2026-02-27 20:21:38 /api/price-feed/quotes ............................................................. ~ 507.64ms
  2026-02-27 20:21:41 /api/price-feed/quotes ............................................................... ~ 0.43ms
  2026-02-27 20:21:44 /api/price-feed/quotes ............................................................. ~ 506.23ms
  2026-02-27 20:21:46 /api/price-feed/quotes ............................................................. ~ 507.59ms
  2026-02-27 20:21:49 /api/price-feed/quotes ............................................................... ~ 0.42ms
  2026-02-27 20:21:51 /api/price-feed/quotes ............................................................... ~ 0.42ms
  2026-02-27 20:21:54 /api/price-feed/quotes ............................................................... ~ 0.31ms
  2026-02-27 20:21:57 /api/price-feed/quotes ............................................................. ~ 504.87ms
  2026-02-27 20:21:59 /api/price-feed/quotes ............................................................. ~ 506.51ms
  2026-02-27 20:22:02 /api/price-feed/quotes ............................................................. ~ 516.67ms
  2026-02-27 20:22:05 /api/price-feed/quotes ............................................................. ~ 503.54ms
  2026-02-27 20:22:07 /api/price-feed/quotes ............................................................... ~ 0.40ms
  2026-02-27 20:22:10 /api/price-feed/quotes ............................................................... ~ 0.74ms
  2026-02-27 20:22:12 /api/price-feed/quotes ............................................................... ~ 0.46ms
  2026-02-27 20:22:14 /api/price-feed/quotes ............................................................... ~ 0.73ms
  2026-02-27 20:22:14 /api/price-feed/quotes ............................................................... ~ 0.32ms
  2026-02-27 20:22:16 /api/price-feed/quotes ............................................................... ~ 0.35ms
  2026-02-27 20:22:17 /api/price-feed/quotes ............................................................. ~ 501.87ms
  2026-02-27 20:22:19 /api/price-feed/quotes ............................................................. ~ 502.33ms
  2026-02-27 20:22:22 /api/price-feed/quotes ............................................................. ~ 510.79ms
  2026-02-27 20:22:25 /api/price-feed/quotes ............................................................. ~ 503.06ms
  2026-02-27 20:22:27 /api/price-feed/quotes ............................................................. ~ 504.75ms
