
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-02-28 11:39:33 /sanctum/csrf-cookie ................................................................. ~ 0.37ms
  2026-02-28 11:39:34 /api/auth/register ................................................................... ~ 0.36ms
  2026-02-28 11:39:34 /api/user/preferences .............................................................. ~ 515.49ms
  2026-02-28 11:39:49 /sanctum/csrf-cookie ................................................................. ~ 0.54ms
  2026-02-28 11:39:49 /api/auth/register ................................................................. ~ 511.57ms
  2026-02-28 11:39:50 /api/user/preferences ................................................................ ~ 0.19ms
  2026-02-28 11:40:24 /api/auth/me ......................................................................... ~ 0.49ms
  2026-02-28 11:40:24 /api/user/preferences .............................................................. ~ 511.00ms
  2026-02-28 11:40:33 /api/auth/me ......................................................................... ~ 0.61ms
  2026-02-28 11:40:53 /sanctum/csrf-cookie ............................................................... ~ 513.14ms
  2026-02-28 11:40:53 /api/auth/register ................................................................... ~ 0.28ms
  2026-02-28 11:41:01 /api/auth/login ...................................................................... ~ 0.56ms
  2026-02-28 11:41:06 /sanctum/csrf-cookie ................................................................. ~ 0.35ms
  2026-02-28 11:41:06 /api/auth/login .................................................................... ~ 494.54ms
  2026-02-28 11:41:07 /api/user/preferences .............................................................. ~ 498.20ms
  2026-02-28 11:41:08 /api/accounts ........................................................................ ~ 0.85ms
  2026-02-28 11:41:08 /api/reports ....................................................................... ~ 502.02ms
  2026-02-28 11:41:08 /api/analytics/dashboard-summary ..................................................... ~ 0.31ms
  2026-02-28 11:41:08 /api/trades ........................................................................ ~ 536.18ms
  2026-02-28 11:41:09 /api/missed-trades ................................................................. ~ 550.27ms
  2026-02-28 11:41:11 /api/trades .......................................................................... ~ 0.51ms
  2026-02-28 11:41:11 /api/analytics/dashboard-summary ................................................... ~ 539.92ms
  2026-02-28 11:41:11 /api/missed-trades ................................................................. ~ 558.54ms
  2026-02-28 11:41:14 /api/user/preferences .............................................................. ~ 513.24ms
  2026-02-28 11:41:17 /api/accounts ........................................................................ ~ 0.31ms
  2026-02-28 11:41:17 /api/dictionaries/strategy-models .................................................. ~ 541.74ms
  2026-02-28 11:41:17 /api/dictionaries/setups ........................................................... ~ 510.59ms
  2026-02-28 11:41:17 /api/dictionaries/killzones ......................................................... ~ 25.95ms
  2026-02-28 11:41:18 /api/dictionaries/trade-tags ....................................................... ~ 535.03ms
  2026-02-28 11:41:18 /api/dictionaries/sessions ......................................................... ~ 536.71ms
  2026-02-28 11:41:18 /api/checklists ...................................................................... ~ 0.45ms
  2026-02-28 11:41:18 /api/checklists .................................................................... ~ 503.15ms
  2026-02-28 11:41:19 /api/checklists/1/items .............................................................. ~ 0.37ms
  2026-02-28 11:41:19 /api/checklists/1/items ............................................................ ~ 505.64ms
  2026-02-28 11:41:19 /api/checklists/1/items .............................................................. ~ 0.22ms
  2026-02-28 11:41:19 /api/checklists/1/items .............................................................. ~ 0.24ms
  2026-02-28 11:41:20 /api/checklists/1/items ............................................................ ~ 509.79ms
  2026-02-28 11:41:20 /api/checklists/1/items .............................................................. ~ 0.44ms
  2026-02-28 11:41:20 /api/checklists/1/items .............................................................. ~ 0.25ms
  2026-02-28 11:41:20 /api/checklists/1/items .............................................................. ~ 0.45ms
  2026-02-28 11:41:20 /api/checklists/1/items .............................................................. ~ 0.21ms
  2026-02-28 11:41:21 /api/checklists/1/items ............................................................ ~ 508.86ms
  2026-02-28 11:41:22 /api/accounts ........................................................................ ~ 0.48ms
  2026-02-28 11:41:22 /api/instruments ................................................................... ~ 550.39ms
  2026-02-28 11:41:22 /api/fx-rates ...................................................................... ~ 580.61ms
  2026-02-28 11:41:22 /api/instruments ................................................................... ~ 511.79ms
  2026-02-28 11:42:33 /api/price-feed/quotes ................................................................... ~ 1s
  2026-02-28 11:42:34 /api/price-feed/quotes ................................................................... ~ 1s
  2026-02-28 11:42:36 /api/price-feed/quotes ............................................................... ~ 0.44ms
  2026-02-28 11:42:37 /api/price-feed/quotes ............................................................... ~ 0.36ms
  2026-02-28 11:42:39 /api/price-feed/quotes ............................................................... ~ 0.64ms
  2026-02-28 11:42:40 /api/price-feed/quotes ............................................................... ~ 1.01ms
  2026-02-28 11:42:42 /api/price-feed/quotes ............................................................... ~ 0.87ms
  2026-02-28 11:42:43 /api/price-feed/quotes ............................................................. ~ 512.47ms
  2026-02-28 11:42:45 /api/price-feed/quotes ............................................................. ~ 502.31ms
  2026-02-28 11:42:46 /api/price-feed/quotes ............................................................. ~ 506.93ms
  2026-02-28 11:42:48 /api/price-feed/quotes ............................................................. ~ 511.33ms
  2026-02-28 11:42:49 /api/price-feed/quotes ............................................................... ~ 0.81ms
  2026-02-28 11:42:51 /api/price-feed/quotes ............................................................... ~ 0.78ms
  2026-02-28 11:42:52 /api/price-feed/quotes ............................................................... ~ 0.42ms
  2026-02-28 11:42:54 /api/price-feed/quotes ............................................................... ~ 0.86ms
  2026-02-28 11:42:55 /api/price-feed/quotes ............................................................... ~ 0.54ms
  2026-02-28 11:42:57 /api/price-feed/quotes ............................................................. ~ 511.25ms
  2026-02-28 11:42:58 /api/price-feed/quotes ............................................................. ~ 527.62ms
  2026-02-28 11:43:00 /api/price-feed/quotes ............................................................. ~ 511.37ms
  2026-02-28 11:43:01 /api/price-feed/quotes ............................................................. ~ 507.53ms
  2026-02-28 11:43:03 /api/price-feed/quotes ............................................................. ~ 501.76ms
  2026-02-28 11:43:04 /api/price-feed/quotes ............................................................. ~ 501.65ms
  2026-02-28 11:43:06 /api/price-feed/quotes ............................................................... ~ 0.59ms
  2026-02-28 11:43:07 /api/price-feed/quotes ............................................................. ~ 513.99ms
  2026-02-28 11:43:09 /api/price-feed/quotes ............................................................... ~ 0.98ms
  2026-02-28 11:43:10 /api/price-feed/quotes ............................................................... ~ 0.61ms
  2026-02-28 11:43:12 /api/price-feed/quotes ............................................................. ~ 502.31ms
  2026-02-28 11:43:13 /api/price-feed/quotes ............................................................. ~ 500.54ms
  2026-02-28 11:43:15 /api/price-feed/quotes ............................................................. ~ 514.55ms
  2026-02-28 11:43:16 /api/price-feed/quotes ............................................................. ~ 500.89ms
  2026-02-28 11:43:18 /api/price-feed/quotes ............................................................... ~ 0.44ms
  2026-02-28 11:43:19 /api/price-feed/quotes ............................................................... ~ 0.62ms
  2026-02-28 11:43:21 /api/price-feed/quotes ............................................................... ~ 0.30ms
  2026-02-28 11:43:22 /api/price-feed/quotes ............................................................... ~ 0.63ms
  2026-02-28 11:43:24 /api/price-feed/quotes ............................................................... ~ 0.53ms
  2026-02-28 11:43:25 /api/price-feed/quotes ............................................................... ~ 0.73ms
  2026-02-28 11:43:27 /api/price-feed/quotes ............................................................. ~ 504.02ms
  2026-02-28 11:43:28 /api/price-feed/quotes ............................................................. ~ 504.06ms
  2026-02-28 11:43:30 /api/price-feed/quotes ............................................................. ~ 502.06ms
  2026-02-28 11:43:31 /api/price-feed/quotes ............................................................. ~ 502.18ms
  2026-02-28 11:43:33 /api/price-feed/quotes ............................................................. ~ 501.56ms
  2026-02-28 11:43:34 /api/price-feed/quotes ............................................................. ~ 514.97ms
  2026-02-28 11:43:36 /api/price-feed/quotes ............................................................... ~ 0.45ms
  2026-02-28 11:43:37 /api/price-feed/quotes ............................................................. ~ 511.65ms
  2026-02-28 11:43:39 /api/price-feed/quotes ............................................................... ~ 0.85ms
  2026-02-28 11:43:40 /api/price-feed/quotes ............................................................... ~ 0.35ms
  2026-02-28 11:43:42 /api/price-feed/quotes ............................................................. ~ 505.15ms
  2026-02-28 11:43:43 /api/price-feed/quotes ............................................................. ~ 524.00ms
  2026-02-28 11:43:45 /api/price-feed/quotes ............................................................. ~ 508.35ms
  2026-02-28 11:43:46 /api/price-feed/quotes ............................................................... ~ 0.33ms
  2026-02-28 11:43:47 /api/price-feed/quotes ............................................................. ~ 516.94ms
  2026-02-28 11:43:48 /api/price-feed/quotes ............................................................... ~ 0.29ms
  2026-02-28 11:43:50 /api/price-feed/quotes ............................................................... ~ 0.57ms
  2026-02-28 11:43:51 /api/price-feed/quotes ............................................................... ~ 0.83ms
