
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-03-01 14:57:03 /api/auth/me ............................................................................. ~ 1s
  2026-03-01 14:57:06 /up ................................................................................ ~ 502.86ms
  2026-03-01 14:57:11 /api/auth/me ....................................................................... ~ 507.19ms
  2026-03-01 14:57:24 /sanctum/csrf-cookie ............................................................... ~ 502.62ms
  2026-03-01 14:57:25 /api/auth/login .................................................................... ~ 494.62ms
  2026-03-01 14:57:25 /api/user/preferences .............................................................. ~ 507.18ms
  2026-03-01 14:57:27 /api/accounts ...................................................................... ~ 501.62ms
  2026-03-01 14:57:27 /api/reports ....................................................................... ~ 508.63ms
  2026-03-01 14:57:27 /api/analytics/dashboard-summary ..................................................... ~ 0.17ms
  2026-03-01 14:57:27 /api/trades ........................................................................ ~ 546.45ms
  2026-03-01 14:57:27 /api/missed-trades ................................................................. ~ 611.27ms
  2026-03-01 14:57:33 /api/analytics/dashboard-summary ................................................... ~ 515.64ms
  2026-03-01 14:57:33 /api/trades .......................................................................... ~ 0.10ms
  2026-03-01 14:57:33 /api/missed-trades ................................................................. ~ 544.20ms
  2026-03-01 14:57:34 /api/analytics/daily ............................................................... ~ 501.23ms
  2026-03-01 14:57:38 /api/instruments ..................................................................... ~ 0.22ms
  2026-03-01 14:57:38 /api/dictionaries/strategy-models ................................................... ~ 42.02ms
  2026-03-01 14:57:38 /api/dictionaries/setups ........................................................... ~ 575.59ms
  2026-03-01 14:57:38 /api/dictionaries/killzones ........................................................ ~ 557.13ms
  2026-03-01 14:57:38 /api/dictionaries/trade-tags ....................................................... ~ 530.56ms
  2026-03-01 14:57:39 /api/dictionaries/sessions ......................................................... ~ 536.23ms
  2026-03-01 14:57:39 /api/instruments .................................................................... ~ 27.17ms
  2026-03-01 14:57:39 /api/trades ........................................................................ ~ 501.40ms
  2026-03-01 14:57:39 /api/reports ......................................................................... ~ 0.08ms
  2026-03-01 14:57:42 /api/instruments ..................................................................... ~ 0.19ms
  2026-03-01 14:57:42 /api/missed-trades ................................................................. ~ 556.01ms
  2026-03-01 14:57:42 /api/instruments ..................................................................... ~ 0.09ms
  2026-03-01 14:57:42 /api/accounts ...................................................................... ~ 508.57ms
  2026-03-01 14:57:45 /api/analytics/overview ............................................................ ~ 508.12ms
  2026-03-01 14:57:45 /api/analytics/dashboard-summary ......................................................... ~ 1s
  2026-03-01 14:57:46 /api/user/preferences ................................................................ ~ 0.24ms
  2026-03-01 14:57:50 /api/accounts ........................................................................ ~ 0.19ms
  2026-03-01 14:57:50 /api/reports ....................................................................... ~ 508.31ms
  2026-03-01 14:57:51 /api/analytics/dashboard-summary ................................................... ~ 515.50ms
  2026-03-01 14:57:51 /api/trades .............................................................................. ~ 1s
  2026-03-01 14:57:51 /api/missed-trades ....................................................................... ~ 1s
  2026-03-01 14:58:17 /api/analytics/dashboard-summary ..................................................... ~ 0.35ms
  2026-03-01 14:58:17 /api/trades ........................................................................ ~ 500.80ms
  2026-03-01 14:58:17 /api/missed-trades ................................................................. ~ 529.51ms
  2026-03-01 14:58:18 /api/analytics/dashboard-summary ..................................................... ~ 0.18ms
  2026-03-01 14:58:18 /api/trades .......................................................................... ~ 0.09ms
  2026-03-01 14:58:18 /api/missed-trades ................................................................. ~ 536.06ms
  2026-03-01 14:58:19 /api/analytics/dashboard-summary ..................................................... ~ 0.08ms
  2026-03-01 14:58:19 /api/trades ........................................................................ ~ 505.10ms
  2026-03-01 14:58:19 /api/missed-trades ................................................................. ~ 516.45ms
  2026-03-01 14:58:20 /api/analytics/daily ................................................................. ~ 0.31ms
  2026-03-01 14:58:21 /api/analytics/daily ................................................................. ~ 0.13ms
  2026-03-01 14:58:21 /api/analytics/dashboard-summary ................................................... ~ 510.28ms
  2026-03-01 14:58:21 /api/trades ........................................................................ ~ 525.73ms
  2026-03-01 14:58:21 /api/missed-trades .................................................................. ~ 27.39ms
  2026-03-01 14:58:21 /api/analytics/daily ............................................................... ~ 525.13ms
  2026-03-01 14:58:22 /api/analytics/dashboard-summary ................................................... ~ 524.53ms
  2026-03-01 14:58:22 /api/trades ......................................................................... ~ 20.07ms
  2026-03-01 14:58:22 /api/missed-trades ................................................................. ~ 548.92ms
  2026-03-01 14:59:02 /api/analytics/dashboard-summary ................................................... ~ 501.12ms
  2026-03-01 14:59:03 /api/trades ........................................................................ ~ 506.19ms
  2026-03-01 14:59:03 /api/missed-trades ................................................................. ~ 554.98ms
  2026-03-01 14:59:47 /api/analytics/dashboard-summary ................................................... ~ 500.87ms
  2026-03-01 14:59:47 /api/trades ........................................................................ ~ 517.90ms
  2026-03-01 14:59:48 /api/missed-trades ................................................................. ~ 534.92ms
  2026-03-01 15:00:32 /api/analytics/dashboard-summary ..................................................... ~ 0.15ms
  2026-03-01 15:00:33 /api/trades ........................................................................ ~ 502.05ms
  2026-03-01 15:00:33 /api/missed-trades ................................................................. ~ 555.17ms
  2026-03-01 15:01:17 /api/analytics/dashboard-summary ..................................................... ~ 0.22ms
  2026-03-01 15:01:17 /api/trades ........................................................................ ~ 536.42ms
  2026-03-01 15:01:17 /api/missed-trades ................................................................. ~ 561.11ms
  2026-03-01 15:01:48 /api/analytics/dashboard-summary ................................................... ~ 501.60ms
  2026-03-01 15:01:49 /api/trades ........................................................................ ~ 502.17ms
  2026-03-01 15:01:49 /api/missed-trades ................................................................. ~ 564.91ms
  2026-03-01 15:02:02 /api/analytics/dashboard-summary ..................................................... ~ 0.25ms
  2026-03-01 15:02:02 /api/trades ........................................................................ ~ 521.47ms
